Date,#1 Most Used App,Time Spent #1 App,#2 Most Used App,Time Spent #2 App,Pickups,Total Screen Time,First Pickup
2/11/2024,Messages ,54m,Safari,15m,119,1h 51m,5:29 AM
2/12/2024,Safari ,2h 39m,Messages,48m,89,5h 23m,12:05 AM
2/13/2024,Messages ,1h 11m,Max,56m,58,3h 21m,6:35 AM
2/14/2024,Messages ,1h 23m ,Safari,1h 3m,75,3h 11m,6:56 AM
2/15/2024,Messages ,1h 50m,Safari,1h 24m,103,5h 59m,12:30 AM
2/16/2024,Messages ,2h 13m,Safari,1h 11m,154,5h 21m,12:04 AM
2/17/2024,Messages ,1h 40m,Safari,1h 22m,137,5h 16m,12:02 AM
2/18/2024,Messages ,3h 1m,Safari,2h 4m,98,8h 43m,12:17 AM
2/19/2024,Messages ,1h 43m ,Spotify,28m,115,4h 17m,8:32 AM
2/20/2024,Safari ,43m,Messages,43m,77,2h 36m,7:38 AM
2/21/2024,Messages ,1h 12m,Safari,38m,127,3h 31m,12:13 AM
2/22/2024,Safari ,1h 27m,Messages,1h 8m,149,4h 58m,5:58 AM
2/23/2024,Safari ,1h 34m,Messages,51m,103,4h 19m,12:16 AM
2/24/2024,Messages ,1h 22m,Safari,1h 10m,102,5h,12:09 AM
2/25/2024,Messages ,1h 53m,Safari ,27m,75,3h 41m,7:43 AM
2/26/2024,Messages ,1h 50m,Max,24m,132,3h 48m,6:41 AM
2/27/2024,Messages ,2h 38m,Max,36m,100,5h 48m,12:08 AM
2/28/2024,Messages ,1h 41m,Safari ,38m,91,4h 8m,12:01 AM
2/29/2024,Messages ,2h 16m,Safari,1h 2m,138,5h 39m,6:44 AM
3/1/2024,Safari ,1h 22m,Messages ,43m,100,3h 23m,7:25 AM
3/2/2024,Safari ,1h 25m,Messages,1h 7m,141,4h 22m,12:40 AM
3/3/2024,Safari ,43m,Messages,28m,68,2h 32m,6:28 AM
3/4/2024,Messages ,1h 53m,Safari,26m,102,3h 47m,7:10 AM
3/5/2024,Safari ,2h 9m,seriouseats.com,1h 13m,91,4h 43m,12:12 AM